symbol,shares,pricePosition,priceTrading,totalBasis,sharesBought,priceBought,sharesSold,priceSold,dividends,sharesDividend
BNL,0.0,$0.00,$0.00,$464.21,1500.0,$-16.17,-1500.0,$-16.25,$350.00,0.0
BOE,0.0,$0.00,$0.00,$12.66,500.0,$-10.12,-500.0,$-10.15,$0.00,0.0
BRKB,0.0,$0.00,$0.00,$3305.63,441.2,$-329.82,-441.2,$-336.96,$0.00,0.0
BRSP,0.0,$0.00,$0.00,$2795.48,4313.0,$-6.58,-4313.0,$-6.82,$2010.00,0.0
BRW,0.0,$0.00,$0.00,$157.83,870.0,$-7.70,-870.0,$-7.54,$298.00,0.0
BRY,0.0,$0.00,$0.00,$-31.16,34.8,$-8.54,-34.8,$-7.64,$0.00,0.0
BSM,0.0,$0.00,$0.00,$4.75,25.0,$-17.75,-25.0,$-17.94,$0.00,0.0
BTI,0.0,$0.00,$0.00,$348.70,150.0,$-35.15,-150.0,$-37.47,$0.00,0.0
BUI,0.0,$0.00,$0.00,$-234.57,1260.0,$-21.89,-1260.0,$-20.98,$904.85,0.0
BWAY,0.0,$0.00,$0.00,$94.99,200.0,$-3.53,-200.0,$-4.00,$0.00,0.0
BXMT,0.0,$0.00,$0.00,$4168.67,1250.0,$-17.88,-1250.0,$-20.92,$372.00,0.0
BXSL,0.0,$0.00,$0.00,$245.43,242.0,$-24.60,-242.0,$-25.61,$0.00,0.0
CALM,0.0,$0.00,$0.00,$5827.92,1150.0,$-49.51,-1150.0,$-51.96,$1600.26,0.0
CCAP,0.0,$0.00,$0.00,$390.10,1515.0,$-15.64,-1515.0,$-15.90,$0.00,0.0
CCI,0.0,$0.00,$0.00,$20.41,50.0,$-104.26,-50.0,$-104.67,$0.00,0.0
CEIX,0.0,$0.00,$0.00,$706.73,450.0,$-71.42,-450.0,$-72.99,$0.00,0.0
CGBD,0.0,$0.00,$0.00,$6010.49,4513.0,$-15.57,-4513.0,$-13.73,$3410.00,0.0
CIVI,-0.0,$0.00,$0.00,$-5.61,3.9,$-76.02,-3.9,$-74.58,$0.00,0.0
