symbol,shares,pricePosition,priceTrading,totalBasis,sharesBought,priceBought,sharesSold,priceSold,dividends,sharesDividend,optionPremium
376535100,-13300.0,$-2.74,$-2.53,$36502.87,100.0,$-10.44,-3400.0,$-10.20,$2854.50,-10000.0,$0.00
AFT,400.0,$-13.69,$-14.08,$-5477.46,400.0,$-14.08,0.0,$0.00,$155.84,0.0,$0.00
AGNC,5000.0,$-9.79,$-10.36,$-43294.70,23800.0,$-9.61,-18800.0,$-9.41,$2858.64,0.0,$5639.56
ANVS,1000.0,$-11.20,$-11.20,$-6844.51,1000.0,$-11.20,0.0,$0.00,$0.00,0.0,$4355.49
BAC,600.0,$-25.27,$-25.31,$-14770.83,1400.0,$-34.49,-1050.0,$-31.52,$24.00,250.0,$389.46
C,700.0,$-56.68,$-57.67,$-39197.27,945.0,$-57.07,-245.0,$-55.38,$693.36,0.0,$477.38
CPA,500.0,$-112.95,$-116.28,$-55943.75,658.0,$-110.27,-158.0,$-91.24,$1666.00,0.0,$530.10
CVX,200.0,$-163.74,$-163.74,$-31617.37,450.0,$-161.51,-250.0,$-159.72,$0.00,0.0,$1130.48
DINO,900.0,$-60.33,$-60.71,$-49182.96,1420.5,$-58.66,-520.5,$-55.11,$341.35,0.0,$5116.38
DSX,3000.0,$-3.37,$-3.62,$-9968.42,3087.0,$-3.66,-176.0,$-2.43,$750.91,89.0,$155.22
EFC,4500.0,$-12.72,$-13.52,$-53718.20,5000.0,$-13.42,-500.0,$-12.50,$3602.45,0.0,$3538.88
EPR,1000.0,$-39.25,$-41.79,$-34944.01,1373.0,$-42.45,-373.0,$-44.21,$2542.58,0.0,$4308.17
EXP,100.0,$-270.78,$-270.78,$-25235.42,100.0,$-270.78,0.0,$0.00,$0.00,0.0,$1842.58
FEPI,700.0,$-49.51,$-51.77,$-34659.98,700.0,$-51.77,0.0,$0.00,$1578.02,0.0,$0.00
GLAD,18300.0,$-7.36,$-7.77,$-131998.67,13300.0,$-10.69,0.0,$0.00,$7488.26,5000.0,$2669.59
ICHR,200.0,$-39.42,$-39.42,$-7601.35,200.0,$-39.42,0.0,$0.00,$0.00,0.0,$282.65
IEP,300.0,$-19.35,$-20.35,$-5232.02,312.0,$-20.38,-12.0,$-21.13,$300.00,0.0,$571.72
IMNM,1000.0,$-23.13,$-23.13,$-17770.92,1000.0,$-23.13,0.0,$0.00,$0.00,0.0,$5359.08
JEPQ,1500.0,$-48.62,$-50.72,$-71890.36,2573.0,$-50.26,-1073.0,$-49.60,$3161.77,0.0,$1034.59
KRC,400.0,$-35.75,$-36.83,$-12300.87,400.0,$-36.83,0.0,$0.00,$432.00,0.0,$1999.35
