symbol,shares,pricePosition,priceTrading,totalBasis,sharesBought,priceBought,sharesSold,priceSold,dividends,sharesDividend,optionPremium
PDI,1000.0,$-16.04,$-17.73,$-16042.47,1520.0,$-18.09,-520.0,$-18.78,$1691.24,0.0,$0.00
PDO,2000.0,$-11.79,$-12.98,$-23583.57,2020.0,$-12.98,-20.0,$-12.93,$2368.73,0.0,$0.00
PFLT,2500.0,$-9.08,$-10.67,$-22691.01,4350.0,$-10.95,-1850.0,$-11.33,$3587.37,0.0,$396.62
PLAB,400.0,$-22.19,$-26.99,$-8876.13,403.0,$-27.04,-3.0,$-33.52,$0.00,0.0,$1918.46
PLTR,500.0,$-6.71,$-23.52,$-3354.37,3302.0,$-22.57,-2802.0,$-22.40,$0.00,0.0,$8405.15
PNNT,5000.0,$-5.41,$-6.35,$-27048.26,5600.0,$-6.37,-600.0,$-6.50,$4651.61,0.0,$47.65
QYLD,4000.0,$-16.80,$-17.83,$-67218.00,4100.0,$-17.82,-100.0,$-17.30,$4181.00,0.0,$-69.62
RNP,500.0,$-16.78,$-18.79,$-8389.32,720.0,$-19.22,-220.0,$-20.18,$1006.40,0.0,$0.00
ROOT,300.0,$-36.14,$-57.14,$-10843.49,300.0,$-57.14,0.0,$0.00,$0.00,0.0,$6298.51
SCM,3800.0,$-13.07,$-14.07,$-49675.60,3979.0,$-14.06,-179.0,$-13.88,$3415.55,0.0,$376.42
SDGR,200.0,$-22.46,$-28.25,$-4491.51,200.0,$-28.25,0.0,$0.00,$0.00,0.0,$1158.49
SM,600.0,$-45.63,$-49.88,$-27378.38,1000.0,$-47.88,-400.0,$-44.88,$144.00,0.0,$2404.77
SOUN,5000.0,$-3.57,$-9.55,$-17869.21,18000.0,$-6.08,-13000.0,$-4.74,$0.00,0.0,$29866.05
SPE,2000.0,$-11.13,$-11.98,$-22257.72,2600.0,$-11.82,-600.0,$-11.30,$1704.97,0.0,$0.00
SPXS,3000.0,$-7.60,$-9.49,$-22796.08,3000.0,$-9.49,0.0,$0.00,$488.00,0.0,$5185.92
TQQQ,200.0,$-11.30,$-88.33,$-2260.00,4312.0,$-62.96,-4112.0,$-61.72,$271.70,0.0,$15134.96
TREX,200.0,$-76.90,$-100.30,$-15380.49,300.0,$-96.87,-100.0,$-90.00,$0.00,0.0,$4679.59
USFD,200.0,$-49.11,$-54.54,$-9822.82,200.0,$-54.54,0.0,$0.00,$0.00,0.0,$1085.18
USOI,650.0,$-72.61,$-75.27,$-47195.63,650.0,$-75.27,0.0,$0.00,$1728.40,0.0,$0.00
VGT,100.0,$-499.48,$-530.00,$-49947.70,100.0,$-530.00,0.0,$0.00,$76.24,0.0,$2976.06
VICI,700.0,$-26.97,$-30.48,$-18877.51,1300.0,$-31.05,-600.0,$-31.73,$1237.50,0.0,$1218.54
VLO,100.0,$-77.26,$-88.03,$-7725.73,868.0,$-132.25,-768.0,$-138.00,$579.36,0.0,$497.96
WPC,2000.0,$-59.27,$-67.50,$-118532.73,2747.0,$-67.28,-747.0,$-66.70,$8792.63,0.0,$7666.39
XFLT,1500.0,$-6.95,$-7.19,$-10431.65,1500.0,$-7.19,0.0,$0.00,$357.00,0.0,$0.00
XLE,400.0,$-86.72,$-95.26,$-34687.06,1112.0,$-88.64,-712.0,$-84.91,$472.03,0.0,$2945.61
