symbol,shares,pricePosition,priceTrading,totalBasis,sharesBought,priceBought,sharesSold,priceSold,dividends,sharesDividend,optionPremium
037636107,400.0,$-13.31,$-14.08,$-5322.94,400.0,$-14.08,0.0,$0.00,$310.36,0.0,$0.00
376535100,-13300.0,$-2.74,$-2.53,$36502.87,100.0,$-10.44,-3400.0,$-10.20,$2854.50,-10000.0,$0.00
AGNC,6000.0,$-8.48,$-10.35,$-50904.19,24800.0,$-9.63,-18800.0,$-9.41,$4778.64,0.0,$6420.07
C,1000.0,$-56.48,$-59.87,$-56482.33,1245.0,$-58.98,-245.0,$-55.38,$693.36,0.0,$2692.32
CPA,500.0,$-109.63,$-116.28,$-54817.13,658.0,$-110.27,-158.0,$-91.24,$2471.00,0.0,$851.72
CVX,400.0,$-151.00,$-163.12,$-60398.22,650.0,$-161.81,-250.0,$-159.72,$326.00,0.0,$4523.63
DINO,900.0,$-48.52,$-60.71,$-43666.91,1420.5,$-58.66,-520.5,$-55.11,$791.35,0.0,$10182.43
DSX,3000.0,$-2.10,$-3.62,$-6304.15,3087.0,$-3.66,-176.0,$-2.43,$975.91,89.0,$3594.49
EFC,4500.0,$-11.68,$-13.52,$-52548.20,5000.0,$-13.42,-500.0,$-12.50,$4772.45,0.0,$3538.88
EPR,1000.0,$-34.37,$-41.79,$-34374.01,1373.0,$-42.45,-373.0,$-44.21,$3112.58,0.0,$4308.17
EXP,100.0,$-242.72,$-270.78,$-24271.81,100.0,$-270.78,0.0,$0.00,$25.00,0.0,$2781.19
FEPI,1250.0,$-49.44,$-52.44,$-61803.74,1250.0,$-52.44,0.0,$0.00,$3743.82,0.0,$5.94
GCT,1500.0,$-22.48,$-28.30,$-33726.80,2600.0,$-29.79,-1100.0,$-31.82,$0.00,0.0,$8719.49
GLAD,18300.0,$-7.12,$-7.77,$-130348.67,13300.0,$-10.69,0.0,$0.00,$9138.26,5000.0,$2669.59
IBKR,100.0,$-116.51,$-123.35,$-11651.41,100.0,$-123.35,0.0,$0.00,$0.00,0.0,$683.59
IBM,100.0,$-184.86,$-190.59,$-18486.36,100.0,$-190.59,0.0,$0.00,$0.00,0.0,$572.64
ICHR,200.0,$-36.11,$-39.42,$-7222.05,200.0,$-39.42,0.0,$0.00,$0.00,0.0,$661.95
IEP,300.0,$-15.95,$-20.35,$-4784.05,312.0,$-20.38,-12.0,$-21.13,$600.00,0.0,$719.69
IMNM,1000.0,$-16.28,$-23.13,$-16284.78,1000.0,$-23.13,0.0,$0.00,$0.00,0.0,$6845.22
JEPQ,1500.0,$-46.63,$-50.72,$-69943.94,2573.0,$-50.26,-1073.0,$-49.60,$5108.19,0.0,$1034.59
KRC,400.0,$-29.23,$-36.83,$-11690.40,400.0,$-36.83,0.0,$0.00,$648.00,0.0,$2393.82
L0C990030,-1744.0,$0.00,$0.00,$0.00,0.0,$0.00,0.0,$0.00,$0.00,-1744.0,$0.00
LFMD,1000.0,$-7.73,$-10.28,$-7729.68,1000.0,$-10.28,0.0,$0.00,$0.00,0.0,$2545.32
MAIN,1500.0,$-39.40,$-41.53,$-59104.73,1523.0,$-41.58,-23.0,$-44.83,$5310.92,0.0,$-2116.65
MARA,500.0,$-16.92,$-20.84,$-8460.33,500.0,$-20.84,0.0,$0.00,$0.00,0.0,$1959.67
MEGI,1300.0,$-11.31,$-13.24,$-14709.34,6300.0,$-14.08,-5000.0,$-14.30,$2500.55,0.0,$0.00
MFIC,381.0,$3.12,$1.39,$1188.50,2000.0,$-12.98,-2000.0,$-13.25,$658.72,381.0,$0.00
MRCC,1700.0,$-7.09,$-8.05,$-12050.30,2113.0,$-7.91,-413.0,$-7.36,$1350.00,0.0,$281.85
NRO,2000.0,$-3.20,$-3.37,$-6404.18,2000.0,$-3.37,0.0,$0.00,$328.22,0.0,$0.00
O,7400.0,$-52.61,$-56.22,$-389320.87,9358.0,$-56.36,-1958.0,$-56.89,$15141.52,0.0,$11543.09
OXLC,10000.0,$-4.47,$-5.17,$-44662.45,14333.0,$-5.23,-4333.0,$-5.37,$7048.24,0.0,$0.00
OXY,500.0,$-58.78,$-63.18,$-29389.53,700.0,$-62.56,-200.0,$-61.00,$0.00,0.0,$2201.81
PCTY,200.0,$-145.36,$-170.40,$-29071.91,200.0,$-170.40,0.0,$0.00,$0.00,0.0,$5009.06
